iter	RMSE
0	14.8324943
1	14.45618436
2	14.0783638
3	13.7164758
4	13.38065429
5	13.09118414
6	12.787526
7	12.51603356
8	12.25787233
9	11.97129685
10	11.69680058
11	11.4563322
12	11.19728327
13	10.96167246
14	10.7223182
15	10.48742926
16	10.27555556
17	10.07195681
18	9.859903714
19	9.680954425
20	9.514989152
21	9.342846563
22	9.169470487
23	9.006765506
24	8.844754682
25	8.70763922
26	8.569458906
27	8.450968936
28	8.327576456
29	8.205583787
30	8.104394828
31	7.98589336
32	7.871442301
33	7.770154785
34	7.657402297
35	7.570552643
36	7.474157546
37	7.380893586
38	7.299298032
39	7.221066672
40	7.147783411
41	7.073189985
42	6.996278692
43	6.928464894
44	6.86279466
45	6.788558667
46	6.7179724
47	6.659881187
48	6.599929027
49	6.540812265
50	6.486387616
51	6.436462167
52	6.383894774
53	6.338114418
54	6.296792837
55	6.258973139
56	6.215929515
57	6.181389313
58	6.149004062
59	6.117539009
60	6.086488797
61	6.053742807
62	6.023698653
63	5.9892475
64	5.960973657
65	5.930127027
66	5.900382176
67	5.872654165
68	5.850249759
69	5.820219539
70	5.793178214
71	5.774106584
72	5.751567549
73	5.726209198
74	5.708787703
75	5.685113547
76	5.668426476
77	5.646599659
78	5.629069327
79	5.612028277
80	5.596479561
81	5.584073738
82	5.566560269
83	5.548047142
84	5.530695365
85	5.511046971
86	5.493395783
87	5.482976185
88	5.470155952
89	5.45950298
90	5.450612706
91	5.438587924
92	5.423880878
93	5.414177668
94	5.409776216
95	5.396364859
96	5.384801147
97	5.37455218
98	5.367778662
99	5.362905691
100	5.357125397
101	5.346194268
102	5.339027981
103	5.334214596
104	5.32540544
105	5.317949471
106	5.309942676
107	5.300344624
108	5.28918249
109	5.282882117
110	5.274273192
111	5.26729406
112	5.262564871
113	5.251447654
114	5.246337236
115	5.2393744
116	5.23816038
117	5.232414296
118	5.221293508
119	5.212088291
120	5.206120412
121	5.200206402
122	5.19420814
123	5.189558252
124	5.184706938
125	5.178982855
126	5.172334719
127	5.168537584
128	5.158864436
129	5.154514842
130	5.147771961
131	5.142162379
132	5.137927453
133	5.131102451
134	5.126105034
135	5.121651263
136	5.116167811
137	5.112097415
138	5.107637938
139	5.103415778
140	5.098952398
141	5.097168523
142	5.089024992
143	5.083636724
144	5.077715276
145	5.074673572
146	5.071648131
147	5.066474359
148	5.062563848
149	5.056925385
150	5.053227286
151	5.049120933
152	5.048312104
153	5.04344463
154	5.040979488
155	5.034428843
156	5.029686731
157	5.023708993
158	5.016248756
159	5.010003978
160	5.008459277
161	5.005434611
162	5.000195369
163	4.996857319
164	4.994654881
165	4.992145039
166	4.987445173
167	4.983534167
168	4.978696306
169	4.973298974
170	4.964941716
171	4.960694255
172	4.960129045
173	4.954218944
174	4.952792269
175	4.947311514
176	4.94420255
177	4.940003564
178	4.936906391
179	4.928919973
180	4.920509787
181	4.91569163
182	4.908452739
183	4.904244563
184	4.901106363
185	4.897251646
186	4.894115657
187	4.886833696
188	4.882307287
189	4.874890063
190	4.872044445
191	4.868389965
192	4.863317158
193	4.860109706
194	4.85574589
195	4.851715581
196	4.847204677
197	4.841907888
198	4.83972562
199	4.835304671
200	4.828963467
201	4.821962112
202	4.820203974
203	4.814686051
204	4.808822285
205	4.804249943
206	4.799835029
207	4.798084458
208	4.792667349
209	4.788833719
210	4.786632076
211	4.784004568
212	4.778930179
213	4.774816404
214	4.770645816
215	4.765179848
216	4.765051712
217	4.757954233
218	4.755057713
219	4.7510387
220	4.74903663
221	4.746725878
222	4.744568224
223	4.740430309
224	4.738441959
225	4.735584208
226	4.731928902
227	4.730053574
228	4.727542657
229	4.725736632
230	4.722241464
231	4.717050476
232	4.714389174
233	4.712440392
234	4.710845847
235	4.708199368
236	4.703367375
237	4.698544667
238	4.695639224
239	4.694150881
240	4.690185721
241	4.687167249
242	4.681008268
243	4.678207541
244	4.673082571
245	4.666712618
246	4.664128735
247	4.658742569
248	4.656776109
249	4.653141912
250	4.647490757
251	4.642348947
252	4.640018818
253	4.636677135
254	4.635491349
255	4.633764688
256	4.6293264
257	4.627299076
258	4.623748904
259	4.618790835
260	4.616620724
261	4.613659961
262	4.609177948
263	4.607542749
264	4.605526416
265	4.60260478
266	4.597108681
267	4.596536221
268	4.595742392
269	4.595258586
270	4.593310489
271	4.591277528
272	4.586554525
273	4.580215989
274	4.576471317
275	4.569581535
276	4.566517079
277	4.561591127
278	4.557786945
279	4.551821408
280	4.549772008
281	4.543231052
282	4.539520657
283	4.537318645
284	4.531730599
285	4.524744198
286	4.522157155
287	4.517050424
288	4.513709905
289	4.507074459
290	4.504845761
291	4.499387079
292	4.495532692
293	4.493866167
294	4.489856601
295	4.488736449
296	4.484950289
297	4.481765566
298	4.476631968
299	4.471704348
300	4.467126376
301	4.461178677
302	4.459376458
303	4.455541786
304	4.449891829
305	4.443753361
306	4.438097594
307	4.435553547
308	4.432709528
309	4.430983769
310	4.427837657
311	4.421675262
312	4.420496344
313	4.417655857
314	4.414456368
315	4.412226721
316	4.410317509
317	4.408951132
318	4.406132377
319	4.402773271
320	4.39931492
321	4.398764162
322	4.394064414
323	4.387554576
324	4.384716404
325	4.379682978
326	4.379008566
327	4.376813955
328	4.372637016
329	4.367298136
330	4.364538003
331	4.362012304
332	4.358935483
333	4.355576018
334	4.351058254
335	4.347577902
336	4.346128905
337	4.340603649
338	4.336388412
339	4.334623602
340	4.330379551
341	4.325039168
342	4.32235106
343	4.319520603
344	4.315764332
345	4.311310406
346	4.307450113
347	4.304642591
348	4.302825396
349	4.301693474
350	4.296314725
351	4.295102457
352	4.292068404
353	4.28727401
354	4.284452485
355	4.281785284
356	4.281337882
357	4.277717872
358	4.275212025
359	4.270478528
360	4.268863787
361	4.265794249
362	4.260877294
363	4.257707399
364	4.255860131
365	4.252409029
366	4.24989706
367	4.245536783
368	4.244374684
369	4.242519365
370	4.237281027
371	4.235308563
372	4.230202443
373	4.229769517
374	4.223948656
375	4.222007659
376	4.217915452
377	4.212752876
378	4.212457599
379	4.211852553
380	4.20868601
381	4.203845149
382	4.199071687
383	4.196724167
384	4.195980319
385	4.191899634
386	4.1862364
387	4.183786596
388	4.179706835
389	4.17789573
390	4.176630509
391	4.17184592
392	4.167292977
393	4.164000395
394	4.159413114
395	4.155353947
396	4.154960024
397	4.154132183
398	4.153751928
399	4.153380685
400	4.150030884
401	4.14603343
402	4.140963005
403	4.137446129
404	4.132101288
405	4.127583295
406	4.123663073
407	4.12156337
408	4.1174322
409	4.117016131
410	4.11202874
411	4.108678595
412	4.103778141
413	4.100246805
414	4.097554652
415	4.09678841
416	4.092984422
417	4.087242428
418	4.082668228
419	4.079200892
420	4.074805439
421	4.072029675
422	4.071771905
423	4.067553197
424	4.067225516
425	4.063643282
426	4.059591657
427	4.056230617
428	4.055832931
429	4.052413986
430	4.048163889
431	4.045688486
432	4.040446488
433	4.038531461
434	4.036262826
435	4.032072978
436	4.030392176
437	4.026912504
438	4.022888079
439	4.022631324
440	4.018451155
441	4.014997612
442	4.013024541
443	4.008931548
444	4.004051317
445	4.002169032
446	3.997625936
447	3.994369554
448	3.990436543
449	3.986452792
450	3.983214989
451	3.982276746
452	3.977754767
453	3.974623218
454	3.972982136
455	3.967350441
456	3.963441979
457	3.960633373
458	3.95822945
459	3.955268594
460	3.954903368
461	3.950238955
462	3.947381347
463	3.943769122
464	3.943464865
465	3.942414001
466	3.938425072
467	3.935646684
468	3.93435229
469	3.934114771
