iter	Passed	Remaining
0	0	295
1	0	272
2	0	255
3	0	247
4	1	253
5	1	260
6	1	257
7	2	250
8	2	245
9	2	245
10	2	246
11	3	251
12	3	251
13	3	252
14	3	251
15	4	248
16	4	245
17	4	243
18	4	243
19	4	241
20	5	239
21	5	238
22	5	238
23	5	237
24	6	235
25	6	237
26	6	236
27	6	236
28	7	236
29	7	235
30	7	234
31	7	232
32	7	231
33	8	230
34	8	229
35	8	229
36	8	228
37	9	229
38	9	228
39	9	227
40	9	227
41	9	227
42	10	229
43	10	229
44	10	229
45	11	229
46	11	228
47	11	227
48	12	244
49	12	244
50	13	243
51	13	242
52	13	241
53	13	240
54	13	240
55	14	239
56	14	238
57	14	237
58	14	236
59	15	236
60	15	235
61	15	234
62	15	234
63	15	233
64	16	232
65	16	232
66	16	231
67	16	230
68	17	230
69	17	229
70	17	228
71	17	227
72	17	227
73	18	226
74	18	226
75	18	226
76	18	225
77	19	224
78	19	224
79	19	223
80	19	223
81	20	224
82	20	223
83	20	223
84	20	222
85	20	222
86	21	222
87	21	222
88	21	220
89	21	220
90	21	219
91	22	219
92	22	219
93	22	219
94	22	218
95	23	217
96	23	217
97	23	217
98	23	216
99	24	216
100	24	215
101	24	215
102	24	214
103	24	214
104	25	213
105	25	213
106	25	213
107	25	213
108	26	213
109	26	212
110	26	212
111	26	211
112	26	211
113	27	210
114	27	210
115	27	210
116	27	209
117	28	209
118	28	209
119	28	209
120	28	208
121	28	208
122	29	208
123	29	208
124	29	208
125	30	208
126	30	207
127	30	207
128	30	207
129	30	206
130	31	206
131	31	206
132	31	206
133	31	205
134	32	205
135	32	205
136	32	205
137	32	205
138	33	204
139	33	204
140	33	203
141	33	202
142	33	202
143	34	202
144	34	201
145	34	201
146	34	201
147	34	201
148	35	200
149	35	200
150	35	200
151	35	199
152	35	198
153	36	198
154	36	198
155	36	198
156	36	197
157	37	197
158	37	197
159	37	197
160	37	197
161	38	197
162	38	197
163	38	197
164	38	197
165	39	196
166	39	196
167	39	195
168	39	195
169	39	195
170	40	194
171	40	194
172	40	193
173	40	193
174	40	192
175	41	192
176	41	192
177	41	191
178	41	192
179	42	191
180	42	191
181	42	191
182	42	191
183	43	191
184	43	190
185	43	190
186	43	190
187	44	190
188	44	189
189	44	189
190	44	189
191	44	188
192	45	188
193	45	188
194	45	187
195	45	187
196	45	187
197	46	186
198	46	186
199	46	186
200	46	186
201	47	186
202	47	186
203	47	185
204	47	185
205	48	185
206	48	185
207	48	184
208	48	184
209	48	184
210	49	183
211	49	183
212	49	183
213	49	183
214	50	182
215	50	182
216	50	181
217	50	181
218	50	181
219	51	180
220	51	180
221	51	180
222	51	180
223	51	179
224	52	179
225	52	179
226	52	178
227	52	178
228	53	178
229	53	178
230	53	177
231	53	177
232	53	177
233	54	177
234	54	177
235	54	177
236	54	176
237	55	176
238	55	176
239	55	176
240	55	175
241	56	175
242	56	175
243	56	175
244	56	175
245	57	175
246	57	174
247	57	174
248	57	174
249	57	173
250	58	173
251	58	173
252	58	173
253	58	172
254	59	172
255	59	172
256	59	172
257	59	172
258	60	171
259	60	171
260	60	171
261	60	171
262	61	170
263	61	170
264	61	170
265	61	170
266	61	169
267	62	169
268	62	169
269	62	169
270	62	168
271	63	168
272	63	168
273	63	168
274	63	168
275	64	167
276	64	167
277	64	167
278	64	167
279	64	166
280	65	166
281	65	166
282	65	165
283	65	165
284	66	165
285	66	165
286	66	165
287	66	164
288	66	164
289	67	164
290	67	164
291	67	163
